entropy,gray level threshold,no of black pixels,no of interior contours,no of exterior contours,no vertical slope components,no horizontal slope components,no positive slope components,no negative slope components,slant,height,class
1.730228,34,5280,28,8,0.164271,0.084265,0.106769,0.026763,0.215308,62,1
1.672245,13,5190,37,12,0.169012,0.076046,0.112575,0.019609,0.201508,35,1
1.41139,13,6811,32,16,0.117181,0.060895,0.051089,0.005197,0.077873,49,1
1.791012,12,3984,40,15,0.112471,0.048024,0.070925,0.006478,0.120143,46,1
1.28,14,3956,42,14,0.128989,0.062995,0.067282,0.001288,0.111455,63,1
1.510569,11,5550,46,12,0.130158,0.059005,0.076237,0.005084,0.117011,51,1
1.720607,12,6715,43,14,0.149351,0.063664,0.098335,0.012648,0.173022,25,1
1.290892,13,5177,41,14,0.111115,0.053408,0.055035,0.002672,0.087329,34,1
1.384431,15,3832,31,13,0.122983,0.065264,0.056318,0.001401,0.09692,23,1
1.876011,15,5148,37,16,0.191581,0.093446,0.12402,0.025885,0.239063,18,1
1.794005,12,5119,44,12,0.165873,0.08544,0.08522,0.004787,0.15393,9,1
1.463061,15,5408,40,15,0.12113,0.04663,0.084077,0.009578,0.136829,28,1
1.609199,13,4219,43,12,0.143411,0.066273,0.092551,0.015413,0.159833,42,1
1.756084,12,2193,39,11,0.162435,0.084829,0.082962,0.005355,0.150026,24,1
1.361659,11,6136,42,9,0.131874,0.062601,0.085059,0.015787,0.160514,4,1
1.864078,7,6345,42,13,0.150243,0.05889,0.113822,0.022469,0.202412,68,1
1.734846,8,4374,39,12,0.156736,0.070169,0.119861,0.033295,0.237889,4,1
1.78264,13,8418,27,12,0.15645,0.064938,0.109035,0.017523,0.187849,10,1
1.8428,11,6249,36,13,0.181317,0.070697,0.141653,0.031033,0.269827,52,1
1.781934,26,2820,43,8,0.167708,0.087473,0.103675,0.023441,0.211009,10,1
1.889385,28,2697,37,14,0.180432,0.094545,0.112864,0.026977,0.233749,6,1
1.787831,27,2997,28,8,0.147078,0.079526,0.087091,0.019539,0.179727,2,1
1.832934,12,4461,120,24,0.191564,0.065576,0.142317,0.01633,0.207748,101,1
1.82664,29,1551,126,23,0.164978,0.067539,0.109824,0.012384,0.160173,44,1
1.889057,34,3387,111,1,0.19303,0.081494,0.135918,0.024382,0.216472,21,1
1.831074,13,3297,120,21,0.197771,0.073275,0.141724,0.017228,0.202672,48,1
1.570219,13,4918,115,25,0.14594,0.058124,0.080238,0.007578,0.079037,34,1
1.949841,12,2091,123,24,0.14123,0.045253,0.100074,0.004097,0.121307,37,1
1.438829,14,2063,125,23,0.157748,0.060224,0.096431,0.001093,0.112619,20,1
1.669398,11,3657,129,21,0.158917,0.056234,0.105386,0.002703,0.118175,32,1
1.879436,12,4822,126,23,0.17811,0.060893,0.127484,0.010267,0.174186,58,1
1.449721,13,3284,124,23,0.139874,0.050637,0.084184,0.005053,0.088493,49,1
1.54326,15,1939,114,22,0.151742,0.062493,0.085467,0.003782,0.098084,60,1
2.03484,15,3255,120,25,0.22034,0.090675,0.153169,0.023504,0.240227,65,1
1.952834,12,3226,127,21,0.194632,0.082669,0.114369,0.002406,0.155094,74,1
1.62189,15,3515,123,24,0.149889,0.043859,0.113226,0.007197,0.137993,55,1
1.768028,13,2326,126,21,0.17217,0.063502,0.1217,0.013032,0.160997,125,1
1.914913,12,300,122,20,0.191194,0.082058,0.112111,0.002974,0.15119,59,1
1.520488,11,4243,125,18,0.160633,0.05983,0.114208,0.013406,0.161678,87,1
2.022907,7,4452,125,22,0.179002,0.056119,0.142971,0.020088,0.203576,15,1
1.893675,8,2481,122,21,0.185495,0.067398,0.14901,0.030914,0.239053,87,1
1.941469,13,6525,110,21,0.185209,0.062167,0.138184,0.015142,0.189013,93,1
2.001629,11,4356,119,22,0.210076,0.067926,0.170802,0.028652,0.270991,135,1
1.940763,26,927,126,17,0.196467,0.084702,0.132824,0.02106,0.212173,93,1
2.048214,28,804,120,23,0.209191,0.091774,0.142013,0.024596,0.234913,77,1
1.94666,27,1104,111,1,0.175837,0.076755,0.11624,0.017158,0.180891,85,1
1.791682,9,3126,95,21,0.173036,0.058731,0.139589,0.025285,0.221393,41,1
1.785388,26,216,101,20,0.14645,0.060694,0.107096,0.021339,0.173818,16,1
1.847805,31,2052,86,2,0.174502,0.074649,0.13319,0.033337,0.230117,39,1
1.789822,10,1962,95,18,0.179243,0.06643,0.138996,0.026183,0.216317,12,1
1.528967,10,3583,90,22,0.127412,0.051279,0.07751,0.001377,0.092682,26,1
1.908589,9,756,98,21,0.122702,0.038408,0.097346,0.013052,0.134952,23,1
1.397577,11,728,100,20,0.13922,0.053379,0.093703,0.007862,0.126264,40,1
1.628146,8,2322,104,18,0.140389,0.049389,0.102658,0.011658,0.13182,28,1
1.838184,9,3487,101,20,0.159582,0.054048,0.124756,0.019222,0.187831,2,1
1.408469,10,1949,99,20,0.121346,0.043792,0.081456,0.003902,0.102138,11,1
1.502008,12,604,89,19,0.133214,0.055648,0.082739,0.005173,0.111729,0,1
1.993588,12,1920,95,22,0.201812,0.08383,0.150441,0.032459,0.253872,5,1
1.911582,9,1891,102,18,0.176104,0.075824,0.111641,0.011361,0.168739,14,1
1.580638,12,2180,98,21,0.131361,0.037014,0.110498,0.016152,0.151638,5,1
1.726776,10,991,101,18,0.153642,0.056657,0.118972,0.021987,0.174642,65,1
1.873661,9,1035,97,17,0.172666,0.075213,0.109383,0.011929,0.164835,1,1
1.479236,8,2908,100,15,0.142105,0.052985,0.11148,0.022361,0.175323,27,1
1.981655,4,3117,100,19,0.160474,0.049274,0.140243,0.029043,0.217221,45,1
1.852423,5,1146,97,18,0.166967,0.060553,0.146282,0.039869,0.252698,27,1
1.900217,10,5190,85,18,0.166681,0.055322,0.135456,0.024097,0.202658,33,1
1.960377,8,3021,94,19,0.191548,0.061081,0.168074,0.037607,0.284636,75,1
1.899511,23,408,101,14,0.177939,0.077857,0.130096,0.030015,0.225818,33,1
2.006962,25,531,95,20,0.190663,0.084929,0.139285,0.033551,0.248558,17,1
1.905408,24,231,86,2,0.157309,0.06991,0.113512,0.026113,0.194536,25,1
1.737817,9,3087,41,4,0.198428,0.106793,0.118015,0.026381,0.235378,98,1
1.731523,26,177,47,3,0.171842,0.108756,0.085522,0.022435,0.187803,41,1
1.79394,31,2013,32,19,0.199894,0.122711,0.111616,0.034433,0.244102,18,1
1.735957,10,1923,41,1,0.204635,0.114492,0.117422,0.027279,0.230302,45,1
1.475102,10,3544,36,5,0.152804,0.099341,0.055936,0.002473,0.106667,31,1
1.854724,9,717,44,4,0.148094,0.08647,0.075772,0.014148,0.148937,34,1
1.343712,11,689,46,3,0.164612,0.101441,0.072129,0.008958,0.140249,17,1
1.574281,8,2283,50,1,0.165781,0.097451,0.081084,0.012754,0.145805,29,1
1.784319,9,3448,47,3,0.184974,0.10211,0.103182,0.020318,0.201816,55,1
1.354604,10,1910,45,3,0.146738,0.091854,0.059882,0.004998,0.116123,46,1
1.448143,12,565,35,2,0.158606,0.10371,0.061165,0.006269,0.125714,57,1
1.939723,12,1881,41,5,0.227204,0.131892,0.128867,0.033555,0.267857,62,1
1.857717,9,1852,48,1,0.201496,0.123886,0.090067,0.012457,0.182724,71,1
1.526773,12,2141,44,4,0.156753,0.085076,0.088924,0.017248,0.165623,52,1
1.672911,10,952,47,1,0.179034,0.104719,0.097398,0.023083,0.188627,122,1
1.819796,9,1074,43,0,0.198058,0.123275,0.087809,0.013025,0.17882,56,1
1.425371,8,2869,46,2,0.167497,0.101047,0.089906,0.023457,0.189308,84,1
1.92779,4,3078,46,2,0.185866,0.097336,0.118669,0.030139,0.231206,12,1
1.798558,5,1107,43,1,0.192359,0.108615,0.124708,0.040965,0.266683,84,1
1.846352,10,5151,31,1,0.192073,0.103384,0.113882,0.025193,0.216643,90,1
1.906512,8,2982,40,2,0.21694,0.109143,0.1465,0.038703,0.298621,132,1
1.845646,23,447,47,3,0.203331,0.125919,0.108522,0.031111,0.239803,90,1
1.953097,25,570,41,3,0.216055,0.132991,0.117711,0.034647,0.262543,74,1
1.851543,24,270,32,19,0.182701,0.117972,0.091938,0.027209,0.208521,82,1
1.775503,13,4182,44,13,0.186698,0.083668,0.115746,0.012716,0.201418,35,1
1.769209,30,1272,50,12,0.160112,0.085631,0.083253,0.00877,0.153843,22,1
1.831626,35,3108,35,10,0.188164,0.099586,0.109347,0.020768,0.210142,45,1
1.773643,14,3018,44,10,0.192905,0.091367,0.115153,0.013614,0.196342,18,1
1.512788,14,4639,39,14,0.141074,0.076216,0.053667,0.011192,0.072707,32,1
1.89241,13,1812,47,13,0.136364,0.063345,0.073503,0.000483,0.114977,29,1
1.381398,15,1784,49,12,0.152882,0.078316,0.06986,0.004707,0.106289,46,1
1.611967,12,3378,53,10,0.154051,0.074326,0.078815,0.000911,0.111845,34,1
1.822005,13,4543,50,12,0.173244,0.078985,0.100913,0.006653,0.167856,8,1
1.39229,14,3005,48,12,0.135008,0.068729,0.057613,0.008667,0.082163,17,1
1.485829,16,1660,38,11,0.146876,0.080585,0.058896,0.007396,0.091754,6,1
1.977409,16,2976,44,14,0.215474,0.108767,0.126598,0.01989,0.233897,1,1
1.895403,13,2947,51,10,0.189766,0.100761,0.087798,0.001208,0.148764,8,1
1.564459,16,3236,47,13,0.145023,0.061951,0.086655,0.003583,0.131663,11,1
1.710597,14,2047,50,10,0.167304,0.081594,0.095129,0.009418,0.154667,59,1
1.857482,13,21,46,9,0.186328,0.10015,0.08554,0.00064,0.14486,7,1
1.463057,12,3964,49,7,0.155767,0.077922,0.087637,0.009792,0.155348,21,1
1.965476,8,4173,49,11,0.174136,0.074211,0.1164,0.016474,0.197246,51,1
1.836244,9,2202,46,10,0.180629,0.08549,0.122439,0.0273,0.232723,21,1
1.884038,14,6246,34,10,0.180343,0.080259,0.111613,0.011528,0.182683,27,1
1.944198,12,4077,43,11,0.20521,0.086018,0.144231,0.025038,0.264661,69,1
1.883332,27,648,50,6,0.191601,0.102794,0.106253,0.017446,0.205843,27,1
1.990783,29,525,44,12,0.204325,0.109866,0.115442,0.020982,0.228583,11,1
1.889229,28,825,35,10,0.170971,0.094847,0.089669,0.013544,0.174561,19,1
1.768309,1,4623,54,13,0.169926,0.083864,0.082976,0.003085,0.139867,99,1
1.762015,16,1713,60,12,0.14334,0.085827,0.050483,0.007031,0.092292,42,1
1.824432,21,3549,45,10,0.171392,0.099782,0.076577,0.004967,0.148591,19,1
1.766449,0,3459,54,10,0.176133,0.091563,0.082383,0.002187,0.134791,46,1
1.505594,0,5080,49,14,0.124302,0.076412,0.020897,0.026993,0.011156,32,1
1.885216,1,2253,57,13,0.119592,0.063541,0.040733,0.015318,0.053426,35,1
1.374204,1,2225,59,12,0.13611,0.078512,0.03709,0.020508,0.044738,18,1
1.604773,2,3819,63,10,0.137279,0.074522,0.046045,0.016712,0.050294,30,1
1.814811,1,4984,60,12,0.156472,0.079181,0.068143,0.009148,0.106305,56,1
1.385096,0,3446,58,12,0.118236,0.068925,0.024843,0.024468,0.020612,47,1
1.478635,2,2101,48,11,0.130104,0.080781,0.026126,0.023197,0.030203,58,1
1.970215,2,3417,54,14,0.198702,0.108963,0.093828,0.004089,0.172346,63,1
1.888209,1,3388,61,10,0.172994,0.100957,0.055028,0.017009,0.087213,72,1
1.557265,2,3677,57,13,0.128251,0.062147,0.053885,0.012218,0.070112,53,1
1.703403,0,2488,60,10,0.150532,0.08179,0.062359,0.006383,0.093116,123,1
1.850288,1,462,56,9,0.169556,0.100346,0.05277,0.016441,0.083309,57,1
1.455863,2,4405,59,7,0.138995,0.078118,0.054867,0.006009,0.093797,85,1
1.958282,6,4614,59,11,0.157364,0.074407,0.08363,0.000673,0.135695,13,1
1.82905,5,2643,56,10,0.163857,0.085686,0.089669,0.011499,0.171172,85,1
1.876844,0,6687,44,10,0.163571,0.080455,0.078843,0.004273,0.121132,91,1
1.937004,2,4518,53,11,0.188438,0.086214,0.111461,0.009237,0.20311,133,1
1.876138,13,1089,60,6,0.174829,0.10299,0.073483,0.001645,0.144292,91,1
1.983589,15,966,54,12,0.187553,0.110062,0.082672,0.005181,0.167032,75,1
1.882035,14,1266,45,10,0.154199,0.095043,0.056899,0.002257,0.11301,83,1
1.644501,12,4728,36,22,0.136017,0.059529,0.087728,0.011241,0.153369,92,1
1.638207,29,1818,42,21,0.109431,0.061492,0.055235,0.007295,0.105794,35,1
1.700624,34,3654,27,1,0.137483,0.075447,0.081329,0.019293,0.162093,12,1
1.642641,13,3564,36,19,0.142224,0.067228,0.087135,0.012139,0.148293,39,1
1.381786,13,5185,31,23,0.090393,0.052077,0.025649,0.012667,0.024658,25,1
1.761408,12,2358,39,22,0.085683,0.039206,0.045485,0.000992,0.066928,28,1
1.250396,14,2330,41,21,0.102201,0.054177,0.041842,0.006182,0.05824,11,1
1.480965,11,3924,45,19,0.10337,0.050187,0.050797,0.002386,0.063796,23,1
1.691003,12,5089,42,21,0.122563,0.054846,0.072895,0.005178,0.119807,49,1
1.261288,13,3551,40,21,0.084327,0.04459,0.029595,0.010142,0.034114,40,1
1.354827,15,2206,30,20,0.096195,0.056446,0.030878,0.008871,0.043705,51,1
1.846407,15,3522,36,23,0.164793,0.084628,0.09858,0.018415,0.185848,56,1
1.764401,12,3493,43,19,0.139085,0.076622,0.05978,0.002683,0.100715,65,1
1.433457,15,3782,39,22,0.094342,0.037812,0.058637,0.002108,0.083614,46,1
1.579595,13,2593,42,19,0.116623,0.057455,0.067111,0.007943,0.106618,116,1
1.72648,12,567,38,18,0.135647,0.076011,0.057522,0.002115,0.096811,50,1
1.332055,11,4510,41,16,0.105086,0.053783,0.059619,0.008317,0.107299,78,1
1.834474,7,4719,41,20,0.123455,0.050072,0.088382,0.014999,0.149197,6,1
1.705242,8,2748,38,19,0.129948,0.061351,0.094421,0.025825,0.184674,78,1
1.753036,13,6792,26,19,0.129662,0.05612,0.083595,0.010053,0.134634,84,1
1.813196,11,4623,35,20,0.154529,0.061879,0.116213,0.023563,0.216612,126,1
1.75233,26,1194,42,15,0.14092,0.078655,0.078235,0.015971,0.157794,84,1
1.859781,28,1071,36,21,0.153644,0.085727,0.087424,0.019507,0.180534,68,1
1.758227,27,1371,27,1,0.12029,0.070708,0.061651,0.012069,0.126512,76,1
1.694067,9,3852,38,10,0.174599,0.078991,0.114547,0.01894,0.197055,66,1
1.687773,26,942,44,9,0.148013,0.080954,0.082054,0.014994,0.14948,9,1
1.75019,31,2778,29,13,0.176065,0.094909,0.108148,0.026992,0.205779,14,1
1.692207,10,2688,38,7,0.180806,0.08669,0.113954,0.019838,0.191979,13,1
1.431352,10,4309,33,11,0.128975,0.071539,0.052468,0.004968,0.068344,1,1
1.810974,9,1482,41,10,0.124265,0.058668,0.072304,0.006707,0.110614,2,1
1.299962,11,1454,43,9,0.140783,0.073639,0.068661,0.001517,0.101926,15,1
1.530531,8,3048,47,7,0.141952,0.069649,0.077616,0.005313,0.107482,3,1
1.740569,9,4213,44,9,0.161145,0.074308,0.099714,0.012877,0.163493,23,1
1.310854,10,2675,42,9,0.122909,0.064052,0.056414,0.002443,0.0778,14,1
1.404393,12,1330,32,8,0.134777,0.075908,0.057697,0.001172,0.087391,25,1
1.895973,12,2646,38,11,0.203375,0.10409,0.125399,0.026114,0.229534,30,1
1.813967,9,2617,45,7,0.177667,0.096084,0.086599,0.005016,0.144401,39,1
1.483023,12,2906,41,10,0.132924,0.057274,0.085456,0.009807,0.1273,20,1
1.629161,10,1717,44,7,0.155205,0.076917,0.09393,0.015642,0.150304,90,1
1.776046,9,309,40,6,0.174229,0.095473,0.084341,0.005584,0.140497,24,1
1.381621,8,3634,43,4,0.143668,0.073245,0.086438,0.016016,0.150985,52,1
1.88404,4,3843,43,8,0.162037,0.069534,0.115201,0.022698,0.192883,20,1
1.754808,5,1872,40,7,0.16853,0.080813,0.12124,0.033524,0.22836,52,1
1.802602,10,5916,28,7,0.168244,0.075582,0.110414,0.017752,0.17832,58,1
1.862762,8,3747,37,8,0.193111,0.081341,0.143032,0.031262,0.260298,100,1
1.801896,23,318,44,3,0.179502,0.098117,0.105054,0.02367,0.20148,58,1
1.909347,25,195,38,9,0.192226,0.105189,0.114243,0.027206,0.22422,42,1
1.807793,24,495,29,13,0.158872,0.09017,0.08847,0.019768,0.170198,50,1
1.708101,4,5151,23,22,0.173058,0.089731,0.112681,0.029354,0.238697,65,1
1.701807,21,2241,29,21,0.146472,0.091694,0.080188,0.025408,0.191122,8,1
1.764224,26,4077,14,1,0.174524,0.105649,0.106282,0.037406,0.247421,15,1
1.706241,5,3987,23,19,0.179265,0.09743,0.112088,0.030252,0.233621,12,1
1.445386,5,5608,18,23,0.127434,0.082279,0.050602,0.005446,0.109986,2,1
1.825008,4,2781,26,22,0.122724,0.069408,0.070438,0.017121,0.152256,1,1
1.313996,6,2753,28,21,0.139242,0.084379,0.066795,0.011931,0.143568,16,1
1.544565,3,4347,32,19,0.140411,0.080389,0.07575,0.015727,0.149124,4,1
1.754603,4,5512,29,21,0.159604,0.085048,0.097848,0.023291,0.205135,22,1
1.324888,5,3974,27,21,0.121368,0.074792,0.054548,0.007971,0.119442,13,1
1.418427,7,2629,17,20,0.133236,0.086648,0.055831,0.009242,0.129033,24,1
1.910007,7,3945,23,23,0.201834,0.11483,0.123533,0.036528,0.271176,29,1
1.828001,4,3916,30,19,0.176126,0.106824,0.084733,0.01543,0.186043,38,1
1.497057,7,4205,26,22,0.131383,0.068014,0.08359,0.020221,0.168942,19,1
1.643195,5,3016,29,19,0.153664,0.087657,0.092064,0.026056,0.191946,89,1
1.79008,4,990,25,18,0.172688,0.106213,0.082475,0.015998,0.182139,23,1
1.395655,3,4933,28,16,0.142127,0.083985,0.084572,0.02643,0.192627,51,1
1.898074,1,5142,28,20,0.160496,0.080274,0.113335,0.033112,0.234525,21,1
1.768842,0,3171,25,19,0.166989,0.091553,0.119374,0.043938,0.270002,51,1
1.816636,5,7215,13,19,0.166703,0.086322,0.108548,0.028166,0.219962,57,1
1.876796,3,5046,22,20,0.19157,0.092081,0.141166,0.041676,0.30194,99,1
1.81593,18,1617,29,15,0.177961,0.108857,0.103188,0.034084,0.243122,57,1
1.923381,20,1494,23,21,0.190685,0.115929,0.112377,0.03762,0.265862,41,1
1.821827,19,1794,14,1,0.157331,0.10091,0.086604,0.030182,0.21184,49,1
1.784967,7,4410,34,12,0.181664,0.092476,0.114861,0.025675,0.207572,88,1
1.778673,24,1500,40,11,0.155078,0.094439,0.082368,0.021729,0.159997,31,1
1.84109,29,3336,25,11,0.18313,0.108394,0.108462,0.033727,0.216296,8,1
1.783107,8,3246,34,9,0.187871,0.100175,0.114268,0.026573,0.202496,35,1
1.522252,8,4867,29,13,0.13604,0.085024,0.052782,0.001767,0.078861,21,1
1.901874,7,2040,37,12,0.13133,0.072153,0.072618,0.013442,0.121131,24,1
1.390862,9,2012,39,11,0.147848,0.087124,0.068975,0.008252,0.112443,7,1
1.621431,6,3606,43,9,0.149017,0.083134,0.07793,0.012048,0.117999,19,1
1.831469,7,4771,40,11,0.16821,0.087793,0.100028,0.019612,0.17401,45,1
1.401754,8,3233,38,11,0.129974,0.077537,0.056728,0.004292,0.088317,36,1
1.495293,10,1888,28,10,0.141842,0.089393,0.058011,0.005563,0.097908,47,1
1.986873,10,3204,34,13,0.21044,0.117575,0.125713,0.032849,0.240051,52,1
1.904867,7,3175,41,9,0.184732,0.109569,0.086913,0.011751,0.154918,61,1
1.573923,10,3464,37,12,0.139989,0.070759,0.08577,0.016542,0.137817,42,1
1.720061,8,2275,40,9,0.16227,0.090402,0.094244,0.022377,0.160821,112,1
1.866946,7,249,36,8,0.181294,0.108958,0.084655,0.012319,0.151014,46,1
1.472521,6,4192,39,6,0.150733,0.08673,0.086752,0.022751,0.161502,74,1
1.97494,2,4401,39,10,0.169102,0.083019,0.115515,0.029433,0.2034,2,1
1.845708,3,2430,36,9,0.175595,0.094298,0.121554,0.040259,0.238877,74,1
1.893502,8,6474,24,9,0.175309,0.089067,0.110728,0.024487,0.188837,80,1
1.953662,6,4305,33,10,0.200176,0.094826,0.143346,0.037997,0.270815,122,1
1.892796,21,876,40,5,0.186567,0.111602,0.105368,0.030405,0.211997,80,1
2.000247,23,753,34,11,0.199291,0.118674,0.114557,0.033941,0.234737,64,1
1.898693,22,1053,25,11,0.165937,0.103655,0.088784,0.026503,0.180715,72,1
1.674056,13,3066,31,17,0.15396,0.07309,0.099877,0.019009,0.184098,102,1
1.667762,30,156,37,16,0.127374,0.075053,0.067384,0.015063,0.136523,45,1
1.730179,35,1992,22,6,0.155426,0.089008,0.093478,0.027061,0.192822,22,1
1.672196,14,1902,31,14,0.160167,0.080789,0.099284,0.019907,0.179022,49,1
1.411341,14,3523,26,18,0.108336,0.065638,0.037798,0.004899,0.055387,35,1
1.790963,13,696,34,17,0.103626,0.052767,0.057634,0.006776,0.097657,38,1
1.279951,15,668,36,16,0.120144,0.067738,0.053991,0.001586,0.088969,21,1
1.51052,12,2262,40,14,0.121313,0.063748,0.062946,0.005382,0.094525,33,1
1.720558,13,3427,37,16,0.140506,0.068407,0.085044,0.012946,0.150536,59,1
1.290843,14,1889,35,16,0.10227,0.058151,0.041744,0.002374,0.064843,50,1
1.384382,16,544,25,15,0.114138,0.070007,0.043027,0.001103,0.074434,61,1
